patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
804800007,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
912890001,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
102890034,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno Central,Segundo grado,Órganos de control y supervisión
109890010,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno Central,Segundo grado,Órganos de control y supervisión
503790020,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno Central,Segundo grado,Órganos de control y supervisión
506800012,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno Central,Segundo grado,Órganos de control y supervisión
510790018,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno Central,Segundo grado,Órganos de control y supervisión
901890171,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno Central,Segundo grado,Órganos de control y supervisión
106890018,CONSEJO CENTRAL DE ELECCIONES,Gobierno Central,Segundo grado,Órganos de control y supervisión
204890007,CONSEJO CENTRAL DE ELECCIONES,Gobierno Central,Segundo grado,Órganos de control y supervisión
501991254,CONSEJO NACIONAL DE LA JUDICATURA,Gobierno Central,Segundo grado,Administración de Justicia
201890142,FISCALIA GENERAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Persecución del delito
11960003,FISCALIA REGIONAL DE OCCIDENTE,Gobierno Central,Ministerio Público,Persecución del delito
307800010,MINISTERIO PUBLICO (FISCALIA GRAL REPUBLICA),Gobierno Central,Ministerio Público,Persecución del delito
903790005,MINISTERIO PUBLICO FISCALIA GRAL,Gobierno Central,Ministerio Público,Persecución del delito
610790005,MINISTERIO PUBLICO FISCALIA GRAL,Gobierno Central,Ministerio Público,Persecución del delito
704800015,MINISTERIO PUBLICO FISCALIA GRAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Persecución del delito
706800018,MINISTERIO PUBLICO FISCALIA GRAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Persecución del delito
406800008,MINISTERIO PUBLICO PROCURADURIA GENERAL,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
5890005,MINISTERIO PUBLICO PROCURADURIA GENERAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
608890005,MINISTERIO PUBLICO PROCURADURIA GENERAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
809890005,MINISTERIO PUBLICO PROCURADURIA GRAL DE,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
111790010,MINISTERIO PUBLICO RPCURADURIA GENERAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
210790008,MINISTERIO PUBLICO RPCURADURIA GENERAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
303790007,MINISTERIO PUBLICO RPCURADURIA GENERAL DE LA REPUBLICA,Gobierno Central,Ministerio Público,Defensa de Derechos Ciudadanos
